date,title,artist,weeks,current,peak,previous,,
2019/4/20,Tokimeki Sendenbu No Victory Story,Tokimeki Sendenbu,1,10,0,0,,
2019/4/13,Kimi Wo Matteru,King & Prince,2,1,1,0,,
2019/4/13,Kyun,Hinatazaka 46,4,2,1,1,,
2019/4/13,Marigold,Aimyon,39,3,2,4,,
2019/4/13,Lemon,Kenshi Yonezu,60,4,1,5,,
2019/4/13,Flying Fish,FANTASTICS from EXILE TRIBE,1,5,0,0,,
2019/4/13,Reiwa,Golden Bomber,1,6,0,0,,
2019/4/13,Happy Birthday,back number,7,7,2,3,,
2019/4/13,Haru No Hi,Aimyon,2,8,8,91,,
2019/4/13,We Are Hi Five,Hi-Five,1,9,0,0,,
2019/4/13,Stand By You,SKE48,11,10,1,53,,
2019/4/6,Kyun,Hinatazaka 46,3,1,1,60,,
2019/4/6,Shoot Out,MONSTA X,1,2,0,0,,
2019/4/6,Happy Birthday,back number,6,3,2,3,,
2019/4/6,Marigold,Aimyon,38,4,2,2,,
2019/4/6,Lemon,Kenshi Yonezu,59,5,1,4,,
2019/4/6,Black Sugar,A.B.C-Z,5,6,6,0,,
2019/4/6,Yes We Are,Sandaime J Soul Brothers from EXILE TRIBE,3,7,2,10,,
2019/4/6,Hakujitsu,King Gnu,6,8,6,6,,
2019/4/6,Kaerimichi Ha Toomawari Shitakunaru,Nogizaka46,24,9,1,12,,
2019/4/6,Kuroi Hitsuji,Keyakizaka46,9,10,1,7,,
2019/3/30,Uchouten Shooter,Matsuri Nine.,1,1,0,0,,
2019/3/30,Marigold,Aimyon,37,2,2,3,,
2019/3/30,Happy Birthday,back number,5,3,2,6,,
2019/3/30,Lemon,Kenshi Yonezu,58,4,1,4,,
2019/3/30,Aurora,BUMP OF CHICKEN,2,5,5,5,,
2019/3/30,Hakujitsu,King Gnu,5,6,6,8,,
2019/3/30,Kuroi Hitsuji,Keyakizaka46,8,7,1,7,,
2019/3/30,Are You Ready?,BiS,1,8,0,0,,
2019/3/30,Itsuka Dokoka De,Maneki-Kecak,1,9,0,0,,
2019/3/30,Yes We Are,Sandaime J Soul Brothers from EXILE TRIBE,2,10,2,2,,
2019/3/23,Jiwaru Days,AKB48,3,1,1,94,,
2019/3/23,Yes We Are,Sandaime J Soul Brothers from EXILE TRIBE,1,2,0,0,,
2019/3/23,Marigold,Aimyon,36,3,3,3,,
2019/3/23,Lemon,Kenshi Yonezu,57,4,1,4,,
2019/3/23,Aurora,BUMP OF CHICKEN,1,5,0,0,,
2019/3/23,Happy Birthday,back number,4,6,2,5,,
2019/3/23,Kuroi Hitsuji,Keyakizaka46,7,7,1,2,,
